Suhu_C,Kelembaban_persen,Tekanan_Udara_hPa,Kecepatan_Angin_kmjam,Arah_Angin_derajat,Curah_Hujan_mm,Kondisi_Cuaca
17.3,84,1008.0,20.9,43,2.8,Berawan
22.7,69,1009.6,26.6,320,2.6,Berawan
23.6,84,1006.7,26.1,124,3.1,Berawan
21.6,63,1009.6,13.6,46,0.0,Cerah
25.1,64,1011.8,17.5,91,0.0,Cerah
27.8,70,1012.9,5.4,61,0.0,Cerah
29.0,72,1005.1,21.2,180,3.9,Berawan
26.7,79,1012.9,6.7,322,4.5,Berawan
29.5,69,1009.7,3.8,224,0.0,Cerah
23.1,72,1012.4,20.6,30,4.7,Berawan
31.0,65,1004.3,29.8,184,1.3,Berawan
25.2,94,1007.8,25.2,169,1.0,Berawan
19.5,79,1008.2,20.7,178,2.2,Berawan
32.0,73,1008.3,19.0,271,4.1,Berawan
24.5,70,1011.0,14.6,148,0.0,Cerah
17.7,87,1006.7,17.1,340,15.7,Hujan
18.2,94,1006.1,6.4,84,23.3,Hujan
27.3,98,1006.5,4.8,259,0.7,Berawan
21.4,67,1009.0,22.7,280,2.6,Berawan
22.3,83,1010.9,23.2,80,1.6,Berawan
27.7,89,1012.2,13.1,233,1.7,Berawan
30.6,57,1005.9,22.9,331,2.8,Berawan
27.2,56,1009.9,27.7,339,4.8,Berawan
29.1,71,1011.5,5.6,56,0.0,Cerah
31.6,86,1006.6,4.6,22,4.5,Berawan
19.7,64,1009.4,6.1,106,0.0,Cerah
24.5,82,1005.6,23.7,18,0.7,Berawan
26.9,70,1008.0,20.6,258,2.4,Berawan
16.8,82,1005.1,10.3,299,4.5,Berawan
31.4,79,1005.5,26.2,170,4.3,Berawan
26.5,66,1009.9,24.9,71,4.8,Berawan
29.9,95,1012.8,6.4,292,3.9,Berawan
16.8,58,1005.2,28.0,275,4.1,Berawan
26.5,56,1007.4,25.9,157,1.2,Berawan
24.9,61,1006.9,12.1,40,0.0,Cerah
31.1,95,1011.1,28.9,6,3.8,Berawan
25.1,70,1012.1,7.6,105,0.0,Cerah
18.0,73,1010.1,18.8,187,0.3,Berawan
25.1,60,1008.6,12.8,288,0.0,Cerah
18.1,77,1012.3,22.3,207,1.9,Berawan
26.8,83,1006.7,15.3,142,0.7,Berawan
28.3,68,1005.8,5.5,121,0.0,Cerah
21.8,89,1012.6,25.4,333,2.4,Berawan
22.0,61,1011.4,16.4,312,0.0,Cerah
23.7,74,1009.5,22.7,76,0.2,Berawan
22.2,97,1012.1,11.2,104,2.4,Berawan
20.5,71,1008.6,12.3,82,0.0,Cerah
24.0,78,1005.6,26.8,126,4.0,Berawan
20.9,79,1006.4,24.6,68,1.1,Berawan
22.9,88,1008.3,19.9,227,1.2,Berawan
28.5,78,1011.0,10.1,297,2.8,Berawan
21.5,66,1011.7,18.3,299,0.8,Berawan
28.2,76,1004.5,14.8,17,0.8,Berawan
24.4,87,1004.6,13.2,339,3.4,Berawan
20.2,79,1007.5,26.1,52,2.0,Berawan
29.6,58,1008.6,29.9,293,3.3,Berawan
25.7,82,1008.6,4.3,215,4.5,Berawan
27.1,74,1010.1,10.0,209,0.0,Cerah
23.3,57,1012.1,21.2,177,2.0,Berawan
20.4,97,1009.0,20.6,308,0.1,Berawan
22.0,98,1004.1,5.7,10,17.1,Hujan
17.4,78,1011.3,14.9,108,0.3,Berawan
29.5,56,1009.2,7.6,59,0.0,Cerah
25.5,57,1010.6,5.3,7,0.0,Cerah
18.3,81,1012.1,22.6,26,2.4,Berawan
29.1,83,1009.6,9.3,286,2.6,Berawan
22.0,60,1011.7,14.6,333,0.0,Cerah
30.1,92,1004.6,4.8,229,1.5,Berawan
21.8,72,1009.6,24.1,105,2.8,Berawan
30.8,90,1007.6,19.7,150,4.7,Berawan
19.8,90,1005.4,9.0,90,25.8,Hujan
16.0,79,1006.7,7.6,333,2.5,Berawan
24.4,66,1011.3,8.8,128,0.0,Cerah
29.3,57,1012.0,3.3,57,0.0,Cerah
19.4,89,1005.5,7.1,46,22.4,Hujan
22.0,77,1007.5,25.6,220,4.1,Berawan
18.0,82,1010.6,27.5,342,0.6,Berawan
17.8,86,1010.3,27.8,144,2.0,Berawan
19.6,90,1007.0,20.8,277,30.7,Hujan
16.1,56,1007.2,12.4,66,0.0,Cerah
16.7,65,1012.6,20.7,306,4.5,Berawan
25.9,82,1011.7,7.8,70,1.4,Berawan
25.9,92,1009.9,7.6,253,1.6,Berawan
28.1,59,1004.7,24.5,47,4.0,Berawan
18.1,95,1008.1,6.1,304,3.2,Berawan
29.0,68,1006.3,15.1,57,0.0,Cerah
19.1,58,1011.5,20.1,158,4.6,Berawan
27.0,83,1008.5,28.9,23,2.2,Berawan
31.6,64,1011.5,10.8,102,0.0,Cerah
28.5,98,1006.7,15.3,95,4.0,Berawan
23.0,90,1005.8,4.1,194,22.5,Hujan
22.3,77,1009.8,26.1,95,1.6,Berawan
26.6,64,1007.3,29.2,309,1.7,Berawan
24.1,65,1010.1,29.3,342,4.2,Berawan
29.5,95,1006.1,19.1,189,3.7,Berawan
30.3,73,1010.4,6.7,328,0.0,Cerah
24.8,80,1006.6,23.2,95,2.8,Berawan
29.9,84,1010.9,25.7,30,0.6,Berawan
18.6,91,1010.5,29.0,165,4.6,Berawan
18.5,60,1012.8,16.8,77,0.0,Cerah
16.2,77,1008.4,10.1,27,1.7,Berawan
22.4,81,1009.3,27.5,22,2.3,Berawan
22.1,95,1009.8,12.2,12,1.3,Berawan
25.6,58,1010.3,6.8,8,0.0,Cerah
22.1,60,1005.0,25.8,152,0.8,Berawan
29.3,76,1005.0,18.3,120,0.9,Berawan
18.6,81,1010.0,6.8,269,0.8,Berawan
31.2,62,1004.9,5.2,3,0.0,Cerah
21.6,85,1009.9,8.8,245,4.3,Berawan
19.5,64,1010.2,15.3,223,0.0,Cerah
29.1,78,1008.3,13.8,205,4.4,Berawan
23.5,61,1006.8,28.4,107,2.0,Berawan
27.6,97,1010.0,16.9,89,4.3,Berawan
22.3,57,1011.4,18.8,191,3.6,Berawan
28.0,61,1010.5,20.7,264,3.9,Berawan
22.3,76,1004.6,25.4,16,2.8,Berawan
26.1,69,1007.8,17.8,305,0.0,Cerah
23.7,72,1009.6,11.0,228,0.0,Cerah
22.1,85,1008.6,13.6,172,1.1,Berawan
30.4,56,1007.1,5.3,161,0.0,Cerah
30.2,72,1008.9,27.5,22,0.8,Berawan
30.8,87,1006.4,28.8,297,3.4,Berawan
24.4,81,1012.7,16.9,151,3.6,Berawan
27.7,69,1011.6,22.5,24,3.9,Berawan
22.6,78,1010.3,5.3,304,2.3,Berawan
18.5,61,1008.5,7.6,110,0.0,Cerah
21.7,85,1011.0,17.5,113,2.0,Berawan
21.5,81,1010.5,26.0,332,4.4,Berawan
25.6,76,1011.3,15.3,174,1.7,Berawan
30.0,87,1005.6,11.8,230,3.8,Berawan
31.7,86,1006.1,11.7,350,3.0,Berawan
19.4,81,1010.3,17.9,5,1.7,Berawan
27.4,80,1006.3,25.6,239,3.3,Berawan
18.5,70,1005.1,9.1,330,0.0,Cerah
19.1,79,1008.2,22.5,316,4.2,Berawan
31.4,87,1008.3,19.1,101,2.0,Berawan
16.9,96,1008.7,20.4,215,1.2,Berawan
18.4,63,1006.6,6.7,201,0.0,Cerah
26.3,62,1004.5,25.0,138,2.1,Berawan
17.6,67,1004.3,17.5,98,0.0,Cerah
30.1,64,1005.5,10.6,101,0.0,Cerah
25.8,95,1008.3,9.8,128,0.3,Berawan
24.3,57,1005.1,13.4,326,0.0,Cerah
22.6,95,1010.1,19.5,223,0.3,Berawan
26.1,73,1009.8,14.3,182,0.0,Cerah
26.2,86,1006.9,11.7,326,0.5,Berawan
24.1,89,1005.8,18.6,224,0.4,Berawan
30.6,78,1008.1,28.1,85,4.7,Berawan
21.0,78,1011.8,22.1,186,1.1,Berawan
23.9,60,1004.1,29.5,146,2.0,Berawan
21.4,72,1004.0,20.6,145,0.9,Berawan
17.9,93,1010.2,7.6,63,3.2,Berawan
22.3,56,1010.2,4.3,172,0.0,Cerah
22.7,60,1004.9,12.5,327,0.0,Cerah
20.7,58,1010.7,19.4,282,1.0,Berawan
22.5,87,1009.0,17.7,206,2.4,Berawan
19.8,83,1009.7,7.5,135,3.5,Berawan
23.6,79,1012.2,12.4,150,1.1,Berawan
17.5,73,1011.7,16.9,259,0.0,Cerah
26.4,61,1007.3,29.7,259,1.8,Berawan
22.2,69,1009.7,17.8,46,0.0,Cerah
17.9,96,1005.2,12.2,324,23.6,Hujan
26.8,86,1005.4,17.2,66,2.4,Berawan
17.1,78,1010.1,13.1,168,3.7,Berawan
18.9,59,1008.7,18.8,230,3.1,Berawan
18.0,90,1004.4,19.1,52,26.2,Hujan
18.9,90,1012.9,17.3,148,1.7,Berawan
20.2,65,1005.6,19.4,236,3.0,Berawan
18.0,85,1009.7,3.9,253,4.4,Berawan
28.4,89,1009.9,15.1,250,1.7,Berawan
17.5,80,1010.5,15.9,226,4.7,Berawan
31.5,63,1009.9,19.4,253,4.7,Berawan
23.7,76,1004.8,3.5,42,2.2,Berawan
21.9,65,1004.4,16.2,272,0.0,Cerah
29.9,57,1009.0,5.0,135,0.0,Cerah
21.4,74,1007.3,20.2,66,4.7,Berawan
24.8,83,1008.9,9.1,69,1.6,Berawan
24.5,73,1007.0,13.7,226,0.0,Cerah
29.0,72,1006.3,15.8,259,0.0,Cerah
20.1,56,1007.7,6.0,126,0.0,Cerah
30.6,81,1011.2,16.4,354,3.9,Berawan
18.2,85,1012.2,25.6,38,2.4,Berawan
21.2,64,1009.9,13.8,292,0.0,Cerah
25.2,66,1005.8,9.3,196,0.0,Cerah
23.3,78,1005.4,13.1,277,1.5,Berawan
23.3,95,1006.7,9.9,156,47.8,Hujan
16.9,78,1008.4,7.4,340,0.3,Berawan
24.7,70,1009.1,20.9,32,1.1,Berawan
22.4,86,1006.4,12.5,256,19.6,Hujan
28.8,77,1005.5,19.5,77,3.6,Berawan
25.8,83,1007.7,28.6,237,2.9,Berawan
28.1,62,1005.2,16.1,200,0.0,Cerah
23.5,66,1011.9,12.2,229,0.0,Cerah
24.5,77,1010.0,12.9,331,4.0,Berawan
21.7,67,1010.1,21.3,104,0.3,Berawan
29.7,62,1012.0,11.3,43,0.0,Cerah
30.1,90,1012.5,17.5,178,1.2,Berawan
27.5,94,1010.3,9.9,156,1.0,Berawan
19.4,80,1013.0,24.4,10,0.5,Berawan
21.2,72,1010.6,25.9,264,3.1,Berawan
25.3,78,1004.1,28.4,263,3.6,Berawan
28.1,59,1012.8,6.0,87,0.0,Cerah
26.7,74,1007.3,19.5,197,4.6,Berawan
26.0,89,1011.4,26.6,170,2.7,Berawan
24.2,65,1009.1,19.9,166,1.1,Berawan
25.2,91,1008.3,10.2,291,1.2,Berawan
26.2,69,1004.3,3.9,82,0.0,Cerah
17.5,67,1009.6,5.1,42,0.0,Cerah
22.2,61,1006.2,20.5,137,2.7,Berawan
29.0,90,1006.7,17.9,337,2.3,Berawan
30.0,58,1011.1,9.0,226,0.0,Cerah
31.2,94,1010.2,8.6,354,1.6,Berawan
21.6,96,1006.1,16.0,346,41.0,Hujan
23.2,92,1005.5,7.3,167,34.1,Hujan
17.1,70,1013.0,27.6,312,3.2,Berawan
30.3,82,1008.1,28.4,195,1.5,Berawan
30.5,82,1005.5,8.7,158,4.6,Berawan
18.7,96,1005.4,20.8,185,11.1,Hujan
19.1,95,1012.4,28.6,264,1.1,Berawan
17.1,86,1012.6,20.6,181,2.1,Berawan
21.9,69,1007.2,11.2,312,0.0,Cerah
31.6,62,1005.2,20.2,183,0.5,Berawan
16.8,92,1009.5,27.3,217,3.2,Berawan
30.8,57,1011.3,20.9,144,3.4,Berawan
30.0,89,1012.9,13.2,143,2.7,Berawan
20.9,91,1006.7,7.0,279,45.5,Hujan
31.3,91,1012.9,15.7,181,0.3,Berawan
25.1,97,1004.9,9.6,295,3.4,Berawan
24.2,71,1012.9,20.3,139,3.9,Berawan
24.6,81,1010.1,13.6,225,3.1,Berawan
28.2,79,1010.8,15.3,74,0.9,Berawan
30.7,79,1006.7,3.8,85,4.8,Berawan
26.9,59,1004.4,12.7,33,0.0,Cerah
17.0,56,1004.3,16.6,55,0.0,Cerah
24.7,68,1004.4,22.5,37,1.2,Berawan
17.7,93,1009.0,26.6,186,1.9,Berawan
25.5,92,1006.0,26.1,51,2.5,Berawan
21.6,58,1005.7,5.0,342,0.0,Cerah
23.0,87,1010.7,28.9,171,3.3,Berawan
26.9,75,1005.0,9.9,17,0.0,Cerah
20.8,79,1006.4,28.1,171,4.1,Berawan
21.0,81,1006.6,15.2,287,4.3,Berawan
28.8,59,1007.3,10.3,347,0.0,Cerah
28.6,70,1009.5,11.7,4,0.0,Cerah
22.1,70,1007.8,5.9,15,0.0,Cerah
24.9,90,1005.4,28.5,355,4.6,Berawan
23.3,57,1008.4,21.5,342,2.7,Berawan
28.7,84,1005.6,4.7,74,3.1,Berawan
26.0,86,1008.3,25.9,280,4.3,Berawan
25.1,84,1010.1,7.3,221,0.9,Berawan
30.0,93,1006.6,15.0,140,1.2,Berawan
20.0,58,1007.9,4.8,353,0.0,Cerah
29.8,60,1011.6,26.6,288,1.7,Berawan
16.9,79,1004.1,14.9,312,2.7,Berawan
19.5,89,1010.2,4.1,21,3.3,Berawan
17.9,89,1011.9,7.5,92,2.7,Berawan
17.8,57,1007.4,7.0,318,0.0,Cerah
18.1,57,1012.0,5.3,100,0.0,Cerah
23.4,66,1010.1,6.7,192,0.0,Cerah
28.2,86,1007.2,10.7,34,3.1,Berawan
27.4,69,1006.6,25.6,275,1.2,Berawan
28.6,97,1007.0,10.0,138,1.0,Berawan
25.3,62,1010.9,4.2,227,0.0,Cerah
24.9,93,1008.1,20.7,62,0.6,Berawan
28.4,71,1008.6,14.7,113,0.0,Cerah
26.9,68,1007.9,23.3,44,2.1,Berawan
25.0,91,1011.5,15.9,324,1.4,Berawan
27.1,73,1005.2,11.9,80,0.0,Cerah
26.7,65,1012.6,15.4,196,0.0,Cerah
22.3,61,1010.1,6.4,248,0.0,Cerah
27.9,61,1008.4,4.5,50,0.0,Cerah
24.6,72,1009.5,3.7,126,0.0,Cerah
24.3,96,1007.0,12.7,11,2.1,Berawan
23.5,59,1012.1,20.9,218,3.9,Berawan
24.8,98,1004.0,3.9,193,2.0,Berawan
31.0,74,1008.5,29.7,327,4.7,Berawan
27.1,94,1009.9,8.1,307,4.3,Berawan
26.6,71,1007.6,18.1,309,3.3,Berawan
27.8,92,1012.0,6.3,312,2.5,Berawan
27.7,55,1007.6,17.3,2,0.0,Cerah
20.2,82,1008.3,21.3,224,1.1,Berawan
21.2,67,1006.2,20.6,168,2.7,Berawan
28.0,68,1011.4,4.5,203,0.0,Cerah
16.8,75,1004.4,29.6,289,3.6,Berawan
19.8,97,1005.4,25.5,272,21.1,Hujan
30.9,66,1004.6,29.8,218,1.2,Berawan
25.5,67,1008.6,15.7,38,0.0,Cerah
22.1,86,1004.1,26.1,319,26.3,Hujan
17.7,68,1004.1,15.5,158,0.0,Cerah
20.1,79,1011.3,15.0,137,1.6,Berawan
20.8,61,1010.9,13.2,309,0.0,Cerah
31.6,87,1012.9,10.3,127,0.6,Berawan
30.7,69,1006.2,15.1,301,0.0,Cerah
24.8,75,1010.5,25.3,229,0.2,Berawan
24.4,82,1005.6,19.1,200,4.0,Berawan
18.2,59,1010.7,9.2,357,0.0,Cerah
22.5,56,1011.2,17.9,244,0.0,Cerah
27.8,85,1008.0,22.8,355,0.7,Berawan
17.2,97,1007.8,24.2,326,29.0,Hujan
18.7,70,1006.7,19.4,105,4.8,Berawan
24.7,86,1007.9,3.9,251,1.7,Berawan
25.5,88,1008.2,23.9,343,0.3,Berawan
29.9,83,1006.0,18.3,325,3.2,Berawan
20.2,67,1007.4,21.1,330,4.4,Berawan
31.9,92,1006.0,27.4,63,2.2,Berawan
24.7,61,1009.8,9.2,3,0.0,Cerah
21.8,93,1004.7,16.0,49,22.8,Hujan
16.4,77,1007.0,25.3,120,1.1,Berawan
17.2,62,1004.3,21.3,106,0.8,Berawan
26.1,71,1005.6,20.9,6,4.6,Berawan
29.3,79,1004.2,14.2,273,4.2,Berawan
22.4,77,1008.1,20.9,108,1.4,Berawan
26.3,74,1010.8,25.2,126,4.3,Berawan
23.9,96,1006.4,27.3,144,25.6,Hujan
21.7,85,1008.9,15.7,154,4.0,Berawan
30.2,68,1011.0,25.0,133,1.5,Berawan
16.9,60,1004.2,27.8,0,3.6,Berawan
22.7,68,1004.5,16.4,318,0.0,Cerah
23.6,85,1010.3,22.1,175,2.1,Berawan
31.6,98,1007.3,9.7,131,4.1,Berawan
30.3,79,1012.2,6.8,78,0.4,Berawan
23.5,76,1008.3,23.2,162,4.6,Berawan
20.8,60,1010.9,8.6,247,0.0,Cerah
17.5,65,1007.2,27.2,330,2.0,Berawan
19.5,67,1007.6,20.4,288,0.9,Berawan
16.9,87,1011.0,8.9,315,3.0,Berawan
23.4,91,1006.3,27.9,195,13.0,Hujan
16.8,79,1004.1,10.2,177,2.6,Berawan
27.7,78,1007.6,21.4,138,3.4,Berawan
16.9,85,1010.2,15.6,178,2.6,Berawan
27.7,66,1011.2,15.8,229,0.0,Cerah
26.8,83,1009.2,19.5,21,3.3,Berawan
21.3,94,1011.8,21.5,246,3.9,Berawan
27.0,84,1010.0,27.7,188,2.8,Berawan
23.7,68,1005.8,9.4,184,0.0,Cerah
31.4,61,1012.7,22.7,29,2.3,Berawan
18.6,63,1011.4,5.6,259,0.0,Cerah
23.9,83,1007.8,18.2,322,2.0,Berawan
22.8,71,1008.6,20.8,207,2.3,Berawan
25.7,96,1005.0,21.0,5,3.5,Berawan
30.3,87,1010.1,28.7,16,0.3,Berawan
20.2,92,1006.5,6.3,33,36.8,Hujan
17.0,56,1009.9,16.0,334,0.0,Cerah
24.9,89,1007.1,27.5,167,0.4,Berawan
27.1,67,1006.7,20.8,11,3.1,Berawan
25.7,80,1006.1,7.5,116,1.1,Berawan
27.0,86,1011.5,19.4,73,2.8,Berawan
17.0,80,1009.8,19.9,66,1.5,Berawan
23.7,59,1006.9,22.4,221,4.1,Berawan
20.1,79,1009.1,16.0,105,4.9,Berawan
25.9,71,1008.5,24.2,76,0.1,Berawan
31.3,86,1012.5,14.8,29,1.0,Berawan
21.3,56,1006.2,18.0,82,0.0,Cerah
20.3,77,1010.1,4.9,184,1.5,Berawan
17.1,76,1010.4,10.7,207,1.7,Berawan
20.1,64,1011.3,22.2,198,3.8,Berawan
29.5,56,1009.6,4.7,57,0.0,Cerah
29.1,58,1008.6,16.3,254,0.0,Cerah
18.0,89,1007.5,5.0,23,43.0,Hujan
23.0,68,1006.0,28.1,304,3.1,Berawan
27.8,79,1012.9,17.9,193,0.4,Berawan
27.9,92,1006.9,5.3,168,2.6,Berawan
31.5,56,1004.0,20.6,54,3.6,Berawan
25.6,80,1011.9,12.5,32,0.8,Berawan
25.0,61,1004.7,27.2,90,3.1,Berawan
24.2,89,1010.2,11.0,126,0.9,Berawan
24.2,77,1011.3,7.4,306,2.9,Berawan
30.3,76,1010.5,15.8,41,0.7,Berawan
21.6,81,1007.4,10.3,201,0.8,Berawan
20.3,88,1010.2,9.7,5,2.1,Berawan
16.8,79,1007.2,17.6,13,2.8,Berawan
21.1,86,1008.9,22.2,127,4.9,Berawan
29.1,75,1010.3,7.8,68,1.7,Berawan
18.2,81,1012.3,3.9,62,1.9,Berawan
29.9,58,1009.5,28.8,184,0.1,Berawan
22.1,96,1006.1,5.6,276,33.0,Hujan
31.3,93,1007.1,13.2,122,4.4,Berawan
27.9,67,1007.7,20.1,220,1.5,Berawan
27.0,83,1012.0,18.7,98,2.8,Berawan
22.9,58,1006.6,19.2,237,4.9,Berawan
27.8,92,1010.7,22.4,177,0.7,Berawan
16.7,66,1011.6,27.4,29,2.2,Berawan
28.6,93,1005.9,27.3,302,0.2,Berawan
31.5,67,1012.4,17.8,146,0.0,Cerah
23.8,68,1012.2,9.2,314,0.0,Cerah
25.1,59,1006.0,26.3,342,4.7,Berawan
28.9,81,1009.2,4.0,55,1.0,Berawan
20.5,89,1009.8,16.7,311,3.2,Berawan
27.2,56,1011.2,14.1,119,0.0,Cerah
29.2,97,1007.5,20.5,168,1.0,Berawan
20.4,72,1005.2,15.5,219,0.0,Cerah
26.6,56,1011.1,17.7,250,0.0,Cerah
28.4,90,1007.2,8.7,302,1.5,Berawan
19.0,66,1011.4,4.1,105,0.0,Cerah
29.4,91,1010.0,17.1,274,2.8,Berawan
29.3,85,1006.7,29.6,53,1.6,Berawan
19.3,80,1013.0,8.1,277,3.9,Berawan
23.7,84,1006.4,18.3,0,3.7,Berawan
28.3,58,1009.4,22.5,80,4.4,Berawan
23.1,95,1010.6,13.6,141,3.4,Berawan
29.2,88,1009.6,27.8,84,1.3,Berawan
21.4,57,1005.8,27.6,131,3.9,Berawan
29.5,94,1008.3,25.8,105,3.0,Berawan
21.6,72,1004.9,7.2,353,0.0,Cerah
22.3,92,1012.6,24.4,3,0.4,Berawan
27.3,82,1008.7,7.9,87,3.3,Berawan
21.2,81,1007.4,23.6,31,4.8,Berawan
25.0,59,1012.0,25.1,246,3.4,Berawan
17.8,96,1010.9,7.8,204,4.0,Berawan
18.6,81,1005.3,13.2,14,0.6,Berawan
28.7,78,1008.7,23.3,122,3.5,Berawan
31.5,59,1011.4,9.4,81,0.0,Cerah
23.8,73,1005.6,7.4,65,0.0,Cerah
18.1,86,1005.0,12.1,252,18.7,Hujan
24.3,64,1005.1,17.3,20,0.0,Cerah
31.2,77,1006.9,14.7,236,1.9,Berawan
30.5,66,1004.1,14.5,68,0.0,Cerah
26.9,95,1006.5,25.1,84,2.6,Berawan
31.1,58,1012.4,28.5,207,2.7,Berawan
25.3,89,1010.9,22.1,98,4.7,Berawan
16.0,79,1007.4,15.1,256,3.6,Berawan
30.5,72,1009.1,15.7,114,0.0,Cerah
19.4,67,1004.2,16.0,106,0.0,Cerah
16.2,69,1008.3,15.9,321,0.0,Cerah
22.7,73,1005.0,24.6,18,0.2,Berawan
29.8,79,1011.3,13.0,333,0.4,Berawan
21.4,89,1007.4,22.1,38,29.8,Hujan
21.1,83,1006.2,6.7,336,4.1,Berawan
21.2,59,1012.1,8.6,167,0.0,Cerah
23.2,84,1005.5,7.0,324,0.8,Berawan
28.0,57,1004.7,8.8,291,0.0,Cerah
25.9,72,1005.7,13.8,131,0.0,Cerah
19.4,69,1007.7,24.8,291,3.2,Berawan
21.5,86,1011.7,19.8,298,2.7,Berawan
23.8,94,1004.5,6.8,42,34.0,Hujan
27.6,70,1012.1,28.2,172,0.5,Berawan
30.6,93,1006.5,19.2,239,2.5,Berawan
25.7,61,1007.5,17.0,295,0.0,Cerah
21.8,75,1008.8,27.6,156,2.7,Berawan
31.7,75,1009.6,13.7,208,0.0,Cerah
18.6,80,1009.0,9.3,288,3.1,Berawan
30.0,73,1004.4,16.1,198,0.0,Cerah
22.0,81,1006.7,14.4,91,1.4,Berawan
31.2,82,1010.1,29.0,67,4.4,Berawan
18.8,92,1012.2,22.9,44,1.3,Berawan
22.1,62,1007.0,23.7,345,3.9,Berawan
17.0,95,1004.7,8.4,177,40.3,Hujan
30.4,68,1007.4,4.1,86,0.0,Cerah
18.1,71,1011.9,26.5,90,0.4,Berawan
25.3,62,1005.7,20.0,254,4.4,Berawan
19.6,92,1008.2,22.9,146,3.9,Berawan
31.2,72,1005.0,23.2,48,4.9,Berawan
26.7,91,1012.7,17.9,145,4.6,Berawan
23.3,73,1011.5,7.4,169,0.0,Cerah
16.5,78,1011.3,24.5,32,4.1,Berawan
17.8,74,1011.1,11.3,44,0.0,Cerah
26.2,61,1009.7,17.3,175,0.0,Cerah
23.3,78,1006.9,16.6,224,4.2,Berawan
27.8,67,1008.7,25.4,248,4.8,Berawan
26.2,56,1012.5,25.1,20,2.8,Berawan
16.7,68,1005.4,19.7,53,0.4,Berawan
16.5,56,1008.4,27.6,68,3.7,Berawan
20.4,77,1009.3,15.4,306,4.7,Berawan
25.1,79,1007.3,12.5,299,3.9,Berawan
19.0,62,1006.3,18.9,171,3.0,Berawan
23.6,74,1006.6,22.6,174,4.4,Berawan
27.7,57,1005.8,3.4,58,0.0,Cerah
22.6,76,1004.2,27.4,0,0.7,Berawan
17.6,92,1007.4,18.6,34,31.9,Hujan
23.4,60,1008.1,14.2,172,0.0,Cerah
26.6,92,1008.9,9.2,337,0.8,Berawan
31.6,57,1004.5,4.6,351,0.0,Cerah
30.8,77,1005.8,29.5,356,1.0,Berawan
28.5,94,1007.8,10.9,271,2.9,Berawan
28.3,61,1004.5,22.9,233,2.0,Berawan
26.4,93,1008.0,23.7,190,1.4,Berawan
21.0,93,1004.7,29.6,309,22.9,Hujan
20.1,65,1008.3,22.4,216,3.9,Berawan
25.8,66,1011.3,25.1,282,0.2,Berawan
22.0,67,1009.0,3.5,50,0.0,Cerah
23.7,78,1004.6,19.7,153,1.3,Berawan
25.9,77,1007.3,16.3,19,1.6,Berawan
17.3,74,1012.1,13.6,309,0.0,Cerah
20.0,60,1010.0,3.6,22,0.0,Cerah
17.9,76,1005.5,18.2,182,0.7,Berawan
19.4,86,1006.8,17.4,164,47.8,Hujan
30.6,59,1011.0,25.6,16,4.8,Berawan
27.1,74,1012.1,13.7,295,0.0,Cerah
22.3,58,1009.0,11.0,194,0.0,Cerah
30.0,62,1007.2,5.1,8,0.0,Cerah
19.3,58,1005.2,17.3,313,0.0,Cerah
26.8,96,1010.4,8.9,216,3.1,Berawan
28.5,62,1010.7,29.8,126,3.7,Berawan
22.0,92,1009.4,18.9,143,1.0,Berawan
21.4,63,1004.6,15.4,165,0.0,Cerah
21.7,95,1010.7,15.5,277,0.9,Berawan
22.3,69,1008.9,12.1,252,0.0,Cerah
18.1,69,1010.4,22.6,279,3.3,Berawan
23.4,96,1008.1,16.4,218,3.8,Berawan
31.0,72,1007.6,8.2,194,0.0,Cerah
25.9,90,1010.9,25.2,288,1.1,Berawan
27.2,66,1012.7,5.2,252,0.0,Cerah
21.8,90,1006.2,10.8,227,43.8,Hujan
32.0,97,1012.3,10.3,308,3.0,Berawan
28.5,70,1005.7,13.9,34,0.0,Cerah
24.8,96,1007.3,9.1,351,0.6,Berawan
22.4,92,1005.8,16.7,239,24.8,Hujan
23.8,72,1004.9,24.7,97,0.8,Berawan
23.8,98,1005.3,11.6,116,24.4,Hujan
31.3,94,1011.7,17.8,28,4.4,Berawan
31.5,78,1004.8,16.2,173,4.7,Berawan
29.0,95,1006.2,15.8,15,3.4,Berawan
30.3,73,1008.3,20.8,62,1.8,Berawan
31.0,91,1011.9,14.8,104,4.3,Berawan
30.3,85,1007.4,20.1,182,4.7,Berawan
16.5,71,1005.6,4.2,19,0.0,Cerah
25.1,59,1012.4,27.9,154,3.4,Berawan
25.5,73,1012.0,14.0,223,0.0,Cerah
17.4,83,1008.2,28.1,59,3.7,Berawan
26.4,62,1006.9,14.5,71,0.0,Cerah
24.5,88,1010.3,16.5,24,2.5,Berawan
27.2,93,1010.5,8.4,185,4.7,Berawan
23.8,84,1010.0,18.9,116,0.4,Berawan
26.4,66,1010.2,22.2,119,2.8,Berawan
28.0,70,1005.2,13.0,215,0.0,Cerah
21.2,60,1005.7,7.8,92,0.0,Cerah
27.5,80,1007.5,11.0,18,3.3,Berawan
16.8,70,1010.9,28.5,228,0.2,Berawan
24.1,57,1012.6,3.1,196,0.0,Cerah
27.6,95,1007.3,9.0,10,0.1,Berawan
27.5,83,1006.6,19.0,96,4.1,Berawan
16.9,97,1006.5,26.5,234,28.1,Hujan
21.3,72,1005.4,29.8,109,3.4,Berawan
17.2,90,1006.7,28.3,182,19.9,Hujan
30.8,60,1009.6,11.7,318,0.0,Cerah
